[2025-12-14T11:51:40.945Z] 🚀 Starting Smart Editorial Cleanup...
[2025-12-14T11:51:40.956Z] 📥 Fetching all editorials...
[2025-12-14T11:51:55.238Z] ✅ Fetched 73581 records.
[2025-12-14T11:51:56.049Z] 📊 Grouping complete. Found 59731 unique targets.
[2025-12-14T11:52:04.454Z]   ❌ Failed to reassign books for group 'Planeta': canceling statement due to statement timeout
[2025-12-14T11:52:17.528Z]   ❌ Failed to reassign books for group 'Alianza Editorial': canceling statement due to statement timeout
[2025-12-14T11:55:21.773Z] 🚀 Starting Smart Editorial Cleanup...
[2025-12-14T11:55:21.782Z] 📥 Fetching all editorials...
[2025-12-14T12:13:26.192Z] ...processed 7000 groups. Consolidated: 8414
[2025-12-14T12:13:33.770Z] ...processed 7100 groups. Consolidated: 8417
[2025-12-14T12:13:44.830Z] ...processed 7200 groups. Consolidated: 8428
[2025-12-14T12:13:56.148Z] ...processed 7300 groups. Consolidated: 8438
[2025-12-14T12:14:06.503Z] ...processed 7400 groups. Consolidated: 8448
[2025-12-14T12:14:15.422Z] ...processed 7500 groups. Consolidated: 8459
[2025-12-14T12:14:24.626Z] ...processed 7600 groups. Consolidated: 8474
[2025-12-14T12:14:32.547Z] ...processed 7700 groups. Consolidated: 8487
[2025-12-14T12:14:42.547Z] ...processed 7800 groups. Consolidated: 8510
[2025-12-14T12:14:54.659Z] ...processed 7900 groups. Consolidated: 8528
[2025-12-14T12:15:03.676Z] ...processed 8000 groups. Consolidated: 8543
[2025-12-14T12:15:15.053Z] ...processed 8100 groups. Consolidated: 8560
[2025-12-14T12:15:23.298Z] ...processed 8200 groups. Consolidated: 8567
[2025-12-14T12:15:33.979Z] ...processed 8300 groups. Consolidated: 8591
[2025-12-14T12:15:42.247Z] ...processed 8400 groups. Consolidated: 8601
[2025-12-14T12:15:59.804Z] ...processed 8500 groups. Consolidated: 8638
[2025-12-14T12:16:07.839Z] ...processed 8600 groups. Consolidated: 8653
[2025-12-14T12:16:15.627Z] ...processed 8700 groups. Consolidated: 8663
[2025-12-14T12:16:24.704Z] ...processed 8800 groups. Consolidated: 8678
